Date,FTSE All-World
2005-02,10000
2005-03,10000
2005-04,9851.368001777595
2005-05,10518.030281206089
2005-06,10851.616814938781
2005-07,11226.228410098098
2005-08,11168.177516589405
2005-09,11725.046030791917
2005-10,11495.980100808547
2005-11,12100.656113244644
2005-12,12392.597777607632
2006-01,12637.139042321862
2006-02,12862.50427000683
2006-03,12949.743289483333
2006-04,12853.00845671383
2006-05,12123.594640166952
2006-06,12188.396106532291
2006-07,12311.5683346458
2006-08,12598.07673998315
2006-09,12888.278753923416
2006-10,13267.438405546862
2006-11,13142.265446326848
2006-12,13515.811022869417
2007-01,13846.122389706872
2007-02,13544.564602380968
2007-03,13714.202060662306
2007-04,13986.677491174127
2007-05,14633.971491215922
2007-06,14547.054694501729
2007-07,14141.924152301346
2007-08,14165.403988166074
2007-09,14307.406099170219
2007-10,14632.058320914482
2007-11,13819.761838832466
2007-12,13713.511623758362
2008-01,12438.060314431696
2008-02,12161.623373230352
2008-03,11484.5242604962
2008-04,12346.868500391782
2008-05,12568.266680044646
2008-06,11351.021953422287
2008-07,11195.025342897421
2008-08,11605.692946887813
2008-09,10671.076873844559
2008-10,9466.166147478529
2008-11,8847.962705743414
2008-12,8381.810270909406
2009-01,8300.694475048835
2009-02,7565.66991540424
2009-03,7852.192448332613
2009-04,8820.599148966003
2009-05,9099.5142577506
2009-06,9135.601704300614
2009-07,9842.448478113558
2009-08,10085.374625769155
2009-09,10357.10187877615
2009-10,10100.625591435959
2009-11,10334.069418160048
2009-12,11034.492397415232
2010-01,10900.560934289446
2010-02,11234.260387753127
2010-03,12072.079182450825
2010-04,12308.685358991628
2010-05,12069.611695657824
2010-06,11738.2295277074
2010-07,11936.901196542101
2010-08,11808.856029575316
2010-09,12059.63610819658
2010-10,12265.193219101891
2010-11,12786.313928793455
2010-12,13327.804387573688
2011-01,13239.845280675823
2011-02,13515.186811340298
2011-03,13155.53773710315
2011-04,13104.115650311856
2011-05,13237.005350267213
2011-06,12927.070630069988
2011-07,12824.820371259497
2011-08,11862.789380759734
2011-09,11518.696244348755
2011-10,12270.773122463366
2011-11,12323.038620989917
2011-12,12745.609971912736
2012-01,13397.698953320121
2012-02,13775.275211834292
2012-03,13920.967454953523
2012-04,13851.314769269728
2012-05,13506.799089189559
2012-06,13814.77063740843
2012-07,14436.057381977456
2012-08,14412.583820948952
2012-09,14576.199743391808
2012-10,14387.314650767827
2012-11,14522.23401893108
2012-12,14669.003557428394
2013-01,14903.843967969076
2013-02,15468.459861747782
2013-03,16028.224467820748
2013-04,16071.999815609746
2013-05,16318.917086424079
2013-06,15800.660531599091
2013-07,16205.434859550456
2013-08,15982.967487520473
2013-09,16381.532490043199
2013-10,16966.092048755585
2013-11,17181.99469447617
2013-12,17270.316867611888
2014-01,16942.77396067226
2014-02,17329.47075722372
2014-03,17464.484020066917
2014-04,17528.228026526856
2014-05,18209.26598106689
2014-06,18500.92759812968
2014-07,18706.86185399109
2014-08,19425.255178870153
2014-09,19608.10639884363
2014-10,19547.81297374121
2014-11,20344.002997022875
2014-12,20561.74948023638
2015-01,21721.770915924328
2015-02,22826.313913677488
2015-03,23730.811170193312
2015-04,23417.24196363767
2015-05,23932.220121108123
2015-06,23001.499103541064
2015-07,23392.97850351655
2015-08,21503.221146119697
2015-09,20292.651177784446
2015-10,22670.992402089025
2015-11,23524.530497092932
2015-12,22476.94719705403
2016-01,20558.45381083939
2016-02,20968.224286668115
2016-03,21499.68191639378
2016-04,21716.249079314402
2016-05,22388.035539018998
2016-06,22302.354810739336
2016-07,23116.61851816048
2016-08,23287.872825222832
2016-09,23200.876030217463
2016-10,23485.6941383724
2016-11,24392.245848859362
2016-12,25233.822135633545
2017-01,25148.590255045176
2017-02,26312.13578828905
2017-03,26485.580611627927
2017-04,26412.921041963567
2017-05,26154.135777643045
2017-06,25897.054777456546
2017-07,25739.65994770842
2017-08,25633.699047289414
2017-09,26282.43323934433
2017-10,27231.71563082394
2017-11,27133.83150599194
2017-12,27405.112885254737
2018-01,27896.054591911157
2018-02,27311.62566088077
2018-03,26508.77451765858
2018-04,27253.667149325545
2018-05,28236.971796482925
2018-06,28066.265765442586
2018-07,28857.187981697905
2018-08,29231.069775334865
2018-09,29358.86560858757
2018-10,27908.571789079582
2018-11,28344.195990703276
2018-12,26111.93653312581
2019-01,28041.754854968964
2019-02,29004.276019765854
2019-03,29799.48092698459
2019-04,30872.351555540845
2019-05,29236.614156059077
2019-06,30466.864826347097
2019-07,31250.103178880458
2019-08,30860.00217622693
2019-09,31863.57287093887
2019-10,32007.607110428817
2019-11,33174.68765567276
2019-12,33758.21797290496
2020-01,33804.02292712779
2020-02,31349.88259099315
2020-03,27153.4189475141
2020-04,30102.2716545365
2020-05,30962.689535646783
2020-06,31637.958987574344
2020-07,31605.052716394337
2020-08,33192.7146143751
2020-09,32770.03562883816
2020-10,32171.63951810884
2020-11,35209.23526611825
2020-12,36024.63818091687
2021-01,36118.89639858678
2021-02,36998.62314219526
2021-03,39288.12923927051
2021-04,40020.98098800265
2021-05,40047.532924874016
2021-06,41792.83409468602
2021-07,42065.630194995836
2021-08,43311.942190515474
2021-09,42494.814319995756
2021-10,44510.84064453063
2021-11,44612.2269485892
2021-12,45980.597991950264
2022-01,44404.28501949148
2022-02,42637.08366008272
2022-03,44987.158824360806
2022-04,44186.91808739787
