Date,iShares Core MSCI Europe UCITS ETF EUR (Acc)
1978-11,10000
1978-12,10000
1979-01,10201.475428409418
1979-02,10451.16836379996
1979-03,11135.466892640949
1979-04,11428.467137855754
1979-05,10990.07516380719
1979-06,11196.887308803023
1979-07,10974.912718400505
1979-08,11357.910459492283
1979-09,11821.435252005671
1979-10,10822.86937023342
1979-11,11242.994784673845
1979-12,11036.0194045192
1980-01,11485.161751125604
1980-02,11750.028387500717
1980-03,10623.273271847404
1980-04,11859.253629777148
1980-05,11664.850330027655
1980-06,12333.89070966068
1980-07,12379.351689089164
1980-08,12752.092089838934
1980-09,12948.43616873941
1980-10,13759.370388313373
1980-11,14081.187433371275
1980-12,13956.100438205078
1981-01,13474.644140001912
1981-02,14276.231626609906
1981-03,14581.364037829717
1981-04,14833.705470841358
1981-05,14497.664177729728
1981-06,14716.43855384608
1981-07,14757.19552061666
1981-08,15606.927948935949
1981-09,13518.501872361363
1981-10,13656.504245734699
1981-11,15181.02891128347
1981-12,14896.609584250853
1982-01,15367.55449660347
1982-02,15278.545979378627
1982-03,15525.08945823436
1982-04,16267.306747908255
1982-05,15713.611233334532
1982-06,15302.123987867219
1982-07,15972.161009643149
1982-08,16179.73978385258
1982-09,16716.482200555827
1982-10,17136.375340150804
1982-11,17716.80774892459
1982-12,17857.3792785748
1983-01,17777.376615850902
1983-02,18821.53188363805
1983-03,19884.6409549982
1983-04,21834.173120719995
1983-05,21761.172374939277
1983-06,22845.612674860782
1983-07,22854.701524028493
1983-08,23102.89356116254
1983-09,23538.470812839172
1983-10,23154.295487939442
1983-11,24493.377198793976
1983-12,25322.714252779362
1984-01,26953.060812804022
1984-02,26938.872049010675
1984-03,26615.981445619607
1984-04,26731.222582014016
1984-05,25712.212144954814
1984-06,25671.379607086797
1984-07,24899.37108738632
1984-08,27322.18795320344
1984-09,28195.95277900217
1984-10,28786.03305449471
1984-11,27963.476417715337
1984-12,29286.72570964451
1985-01,31395.757300762085
1985-02,31220.96213754637
1985-03,34918.44664046868
1985-04,33450.292763825324
1985-05,35453.66370271718
1985-06,35259.823875383416
1985-07,36714.45721896662
1985-08,37284.822657893696
1985-09,38525.892761963514
1985-10,40186.63100719311
1985-11,42506.893055687106
1985-12,43328.41996128398
1986-01,43258.989493796595
1986-02,46511.074731365545
1986-03,48946.311197807605
1986-04,53795.279232088375
1986-05,48203.01419330977
1986-06,50524.63088118845
1986-07,48642.85404930253
1986-08,52474.72909323948
1986-09,48785.21714780223
1986-10,48556.84309162544
1986-11,51701.95325593966
1986-12,52269.479404006364
1987-01,51322.74500002662
1987-02,52236.947521550945
1987-03,54748.50761599722
1987-04,56170.621689610445
1987-05,55201.793925320744
1987-06,57813.7382924419
1987-07,60642.283747847156
1987-08,61642.981524459836
1987-09,60448.10246583611
1987-10,48620.92518140737
1987-11,43691.359942345865
1987-12,44848.742635963405
1988-01,43479.2709905298
1988-02,47387.874172208685
1988-03,48051.908296733076
1988-04,48672.641015314504
1988-05,48252.65694578999
1988-06,49558.62065695686
1988-07,52191.07825714487
1988-08,50957.698126523785
1988-09,53355.83708217453
1988-10,56877.18866473062
1988-11,55315.98432409933
1988-12,55685.47762210727
1989-01,60009.74227676287
1989-02,60082.06457605526
1989-03,60939.49912640257
1989-04,62996.773425799474
1989-05,62356.655826125636
1989-06,66116.97408106423
1989-07,70696.48084796626
1989-08,70911.21820170576
1989-09,73256.74177919595
1989-10,65896.37100590474
1989-11,68577.97112483605
1989-12,72853.24218440182
1990-01,70548.7770068319
1990-02,67967.02203047926
1990-03,70155.45826864187
1990-04,67439.35226153111
1990-05,71761.75110434744
1990-06,74806.8564485322
1990-07,75628.9487596035
1990-08,65150.4827657477
1990-09,57594.647853533366
1990-10,60641.71779363824
1990-11,60058.8057779129
1990-12,59911.59504969413
1991-01,62103.886998878064
1991-02,66435.2946734139
1991-03,67483.6824056534
1991-04,70355.10028366176
1991-05,73422.60098312497
1991-06,69787.55024149286
1991-07,74742.40785258818
1991-08,74452.13907121771
1991-09,74590.32013144666
1991-10,72947.3056591164
1991-11,68589.64935000415
1991-12,71623.52009881729
1992-01,72128.32481593241
1992-02,74029.68520072754
1992-03,73369.02556666934
1992-04,76740.88283981479
1992-05,79580.8667398637
1992-06,75884.64770394495
1992-07,69714.20663707102
1992-08,67757.59169883774
1992-09,68199.52811767384
1992-10,66101.69375013828
1992-11,70420.2328321823
1992-12,72010.7440377133
1993-01,73562.37608133483
1993-02,76279.04456435103
1993-03,80619.14242887401
1993-04,79614.34030743758
1993-05,80689.17302098215
1993-06,81849.727465658
1993-07,85632.89662273282
1993-08,93878.63194931304
1993-09,89884.69198038784
1993-10,94747.01040737826
1993-11,95209.93600648083
1993-12,102330.99430231111
1994-01,109018.71832494921
1994-02,104771.87526882338
1994-03,99721.45141192793
1994-04,104172.63850939772
1994-05,97620.66010363914
1994-06,95048.57253257406
1994-07,96967.97006717807
1994-08,100179.43224492612
1994-09,95197.1143635656
1994-10,97467.6756131506
1994-11,95148.95596613234
1994-12,97669.0391722398
1995-01,94946.25955752136
1995-02,96058.6603905051
1995-03,96636.25698643588
1995-04,97843.9687387815
1995-05,101415.65215257848
1995-06,101543.6409177062
1995-07,105621.30154639241
1995-08,104637.76339897764
1995-09,109209.06098230468
1995-10,107029.27632879469
1995-11,108049.85107857206
1995-12,113266.8214369258
1996-01,115417.4536467525
1996-02,118223.76446473802
1996-03,119590.35577807936
1996-04,121511.40068699424
1996-05,123964.88490138833
1996-06,124387.31870557828
1996-07,120992.90715899262
1996-08,123484.10326976315
1996-09,127204.66143249787
1996-10,130592.59708692427
1996-11,135477.73589703962
1996-12,141187.73896835576
1997-01,145448.9195314302
1997-02,153820.56752957875
1997-03,160662.8527481142
1997-04,160763.54104243757
1997-05,167146.45614794086
1997-06,177510.88660563008
1997-07,191027.54812826903
1997-08,185279.07347801587
1997-09,197945.29950253188
1997-10,184824.50657259984
1997-11,183830.59887981915
1997-12,195719.76186859483
1998-01,208585.85124323895
1998-02,224429.89151367184
1998-03,241332.46509977427
1998-04,244381.18139994593
1998-05,245568.21371519534
1998-06,250094.11090218715
1998-07,255671.24172895457
1998-08,222633.7946708819
1998-09,203797.13283825692
1998-10,212015.97056636377
1998-11,229793.29665210657
1998-12,238344.74412673173
1999-01,244581.9222832667
1999-02,246329.31979371142
1999-03,255454.93847535763
1999-04,266704.4350481258
1999-05,257356.84160379178
1999-06,264983.4636472953
1999-07,258330.42823151866
1999-08,263981.1293853362
1999-09,259726.21229109567
1999-10,274785.39102633036
1999-11,292184.88917356095
1999-12,323803.90006588155
2000-01,308606.856466811
2000-02,327311.4071153198
2000-03,340905.35126548004
2000-04,342682.8016642267
2000-05,331957.3712999417
2000-06,330151.285649093
2000-07,335920.82887392753
2000-08,344573.20379174495
