Date,iShares MSCI Europe Mid Cap UCITS ETF EUR (Acc)
1994-04,10000
1994-05,10000
1994-06,9689.471129787804
1994-07,9809.193606106312
1994-08,10046.418898226353
1994-09,9567.03003428766
1994-10,9618.995355740451
1994-11,9370.15792288274
1994-12,9651.447532015452
1995-01,9371.604069667355
1995-02,9379.389316435352
1995-03,9219.658670279267
1995-04,9356.818385576062
1995-05,9695.065142145675
1995-06,9730.974159143028
1995-07,10068.377181754335
1995-08,9952.916686246212
1995-09,10311.919010115982
1995-10,9977.256461722605
1995-11,9841.063107435599
1995-12,10289.630957368734
1996-01,10543.864054652417
1996-02,11037.08674316068
1996-03,11198.31095640783
1996-04,11500.574085924201
1996-05,11907.892560533217
1996-06,11934.31045060833
1996-07,11596.235426274865
1996-08,11737.874405489829
1996-09,11868.079284788948
1996-10,12142.913771450332
1996-11,12359.992180874755
1996-12,13032.379781795456
1997-01,13379.90326883596
1997-02,14103.339522086884
1997-03,14473.76510722146
1997-04,14221.663786999416
1997-05,14819.717624332106
1997-06,15552.40347585435
1997-07,16119.613548414482
1997-08,16229.555979842682
1997-09,16929.449919298077
1997-10,16269.650829695704
1997-11,15892.014939972096
1997-12,16577.847423626197
1998-01,17518.687598212935
1998-02,18833.432343579625
1998-03,20663.074070726332
1998-04,21258.471297260112
1998-05,21668.152831460146
1998-06,21253.056719529897
1998-07,21752.934072792043
1998-08,19024.14015121292
1998-09,17173.307565428815
1998-10,17713.36310719146
1998-11,18863.598850772843
1998-12,19373.65787459626
1999-01,20119.199210618008
1999-02,20197.628394149822
1999-03,20616.810780940523
1999-04,21436.06375154723
1999-05,21299.222291378006
1999-06,21802.774721728296
1999-07,21671.530163652376
1999-08,22109.985701264734
1999-09,21700.287136248608
1999-10,21944.010161545397
1999-11,23538.194519236862
1999-12,26203.593475609796
2000-01,25524.781655990984
2000-02,28355.277546252062
2000-03,28236.35509789956
2000-04,27534.709302417832
2000-05,26470.028921558245
2000-06,26634.319994775607
2000-07,27485.11361102856
2000-08,28473.757393153304
2000-09,27540.896635018526
2000-10,27483.52163157528
2000-11,25510.36579804137
2000-12,25579.978832684104
2001-01,25931.26660552597
2001-02,24839.532183985917
2001-03,23524.338271229895
2001-04,24623.30357111888
2001-05,25154.078699351343
2001-06,24110.82310674807
2001-07,23304.941364729257
2001-08,22108.53255930236
2001-09,18984.755337176994
2001-10,20172.303574127982
2001-11,21569.617300526916
2001-12,22090.10535473026
2002-01,22021.555838168548
2002-02,21982.823908229147
2002-03,23182.822663578412
2002-04,22618.363290486774
2002-05,22047.160659780417
2002-06,20036.510645331855
2002-07,18274.300838752002
2002-08,18137.89979143588
2002-09,16020.51583424183
2002-10,17119.19084810301
2002-11,17901.930813385898
2002-12,16208.668520005302
2003-01,14947.748256219329
2003-02,14296.419485420392
2003-03,14021.330167746806
2003-04,15659.346832172308
2003-05,15925.500693655731
2003-06,16625.837681657966
2003-07,17385.655204412553
2003-08,18181.86320725618
2003-09,17391.005588006905
2003-10,18887.750195008495
2003-11,19014.819094344264
2003-12,19175.07166611434
2004-01,20267.912282497517
2004-02,20964.02733712645
2004-03,20748.32260939436
2004-04,21004.646674330786
2004-05,21049.322070754784
2004-06,21603.762098554456
2004-07,21077.007656992333
2004-08,20971.62441570896
2004-09,21277.51256601121
2004-10,21545.634040582572
2004-11,22438.132615220442
2004-12,22950.836749613376
2005-01,23828.540357855793
2005-02,24574.043511551143
2005-03,24390.44699561608
2005-04,23715.410265507973
2005-05,25244.72519692324
2005-06,26156.912606882895
2005-07,27111.875628907117
2005-08,27480.195015175497
2005-09,28401.53138711261
2005-10,27353.512808854222
2005-11,28909.212746391328
2005-12,30114.023197071227
2006-01,31745.156276715552
2006-02,32774.202590157714
2006-03,33620.362111514216
2006-04,34093.484378037836
2006-05,32225.275855169137
2006-06,32669.102727937916
