Date,iShares MSCI World Small Cap UCITS ETF
2000-11,10000
2000-12,10000
2001-01,10382.576769252844
2001-02,10128.204408921254
2001-03,10022.552185877184
2001-04,10760.535007034507
2001-05,11388.348009144514
2001-06,11360.262936111196
2001-07,10636.299324986237
2001-08,10144.965640179102
2001-09,8840.760170813614
2001-10,9523.560945357054
2001-11,10286.018286656075
2001-12,10651.020037792581
2002-01,10642.61355094994
2002-02,10532.384202322557
2002-03,11259.120840727111
2002-04,11077.044900045968
2002-05,10599.938417879013
2002-06,9455.821191529458
2002-07,8591.64902272705
2002-08,8506.214677398331
2002-09,7841.078818062754
2002-10,7930.9550649080475
2002-11,8323.923796217407
2002-12,7519.107493295191
2003-01,7159.383189201701
2003-02,7055.571939163209
2003-03,6998.048567303695
2003-04,7556.684900636666
2003-05,7857.02841481772
2003-06,8392.200368531121
2003-07,8811.295485400457
2003-08,9696.65692732094
2003-09,9261.773295517787
2003-10,10102.796329900213
2003-11,9962.717091070786
2003-12,9856.583262243155
2004-01,10482.075951842153
2004-02,10666.76973295325
2004-03,11141.148200786469
2004-04,10880.276144530637
2004-05,10703.207021066763
2004-06,11216.996096713912
2004-07,10739.86034983826
2004-08,10660.436069773968
2004-09,10784.421838700935
2004-10,10811.436354138039
2004-11,11181.951449393153
2004-12,11361.193462594516
2005-01,11718.69401747881
2005-02,11893.174796302112
2005-03,11883.047460709922
2005-04,11420.566306076971
2005-05,12372.955814989971
2005-06,12988.983757750922
2005-07,13658.119371342284
2005-08,13675.454544692731
2005-09,14203.129963158477
2005-10,13747.640116167127
2005-11,14613.610224285816
2005-12,15175.188065980095
2006-01,15887.503348525875
2006-02,16079.952277280969
2006-03,16511.834337190565
2006-04,16357.096784522484
2006-05,15043.586061408432
2006-06,14989.109898627898
2006-07,14505.850419674636
2006-08,14811.995173150763
2006-09,15085.476976814394
2006-10,15699.853166774097
2006-11,15623.28378184945
2006-12,15924.035747557025
2007-01,16480.22837178504
2007-02,16282.465654535312
2007-03,16555.562955553287
2007-04,16734.92970976531
2007-05,17358.439553085263
2007-06,17158.11395687142
2007-07,16339.847931842785
2007-08,15875.361297316202
2007-09,15663.052565821394
2007-10,16121.344890649809
2007-11,14582.060894840093
2007-12,14355.750318596447
2008-01,13082.451884351316
2008-02,12928.930880580683
2008-03,12279.019967977412
2008-04,13001.063600109901
2008-05,13500.974888103641
2008-06,12211.062249603867
2008-07,12108.514112627148
2008-08,12819.671407328504
2008-09,11452.63569205442
2008-10,9933.132422064486
2008-11,9110.374763391625
2008-12,8835.686736949956
2009-01,8860.453312966147
2009-02,8044.520425669894
2009-03,8275.316435444403
2009-04,9669.562572481338
2009-05,9900.521048122875
2009-06,9988.112033206999
2009-07,10861.988339001737
2009-08,11415.952295626414
2009-09,11782.328120801674
2009-10,11196.280550242835
2009-11,11290.327394575757
2009-12,12313.511893783136
2010-01,12393.710805069048
2010-02,13050.420730142083
2010-03,14154.808688803816
2010-04,14881.875707626534
2010-05,14555.861241851755
2010-06,13919.631489734966
2010-07,14127.235026976035
2010-08,13846.443726489817
2010-09,14346.09012572317
2010-10,14686.405580357252
2010-11,15735.985337387947
2010-12,16745.557220629074
2011-01,16486.31714458849
2011-02,16975.8636862099
2011-03,16727.81486406416
2011-04,16598.375823169004
2011-05,16798.578613530834
2011-06,16357.916345563162
2011-07,16191.32767206249
2011-08,14659.12009578354
2011-09,13928.381480519776
2011-10,15019.642731602164
2011-11,15295.800500313555
2011-12,15732.15437539546
2012-01,16613.554694389106
2012-02,17022.89193337065
2012-03,17302.290729433185
2012-04,17364.285293103963
2012-05,16853.99282779539
2012-06,17207.102376513732
2012-07,17608.817025791817
2012-08,17715.964671408852
2012-09,17886.57791561436
2012-10,17694.756447149724
2012-11,17881.197136553157
2012-12,18164.122091688
2013-01,18715.13049387984
2013-02,19472.33031681561
2013-03,20657.150724264855
2013-04,20485.174468864934
2013-05,20804.854962141722
2013-06,20245.42475401247
2013-07,21229.6556899638
2013-08,20883.69488238622
2013-09,21882.908757524063
2013-10,22328.451441993217
2013-11,22783.657292609747
2013-12,23020.032727188962
2014-01,23049.418392261752
2014-02,23739.65016424533
2014-03,23681.46548156566
2014-04,23181.451503616518
2014-05,23865.45677024124
2014-06,24711.404762068894
2014-07,24206.2983175097
2014-08,25312.598901115172
2014-09,25045.21061483121
2014-10,25587.05573036474
2014-11,25784.674834983143
2014-12,26663.529773114464
2015-01,28114.125759244194
2015-02,30019.790843039988
2015-03,31432.64769664655
2015-04,30436.22449429319
2015-05,31572.057180737913
2015-06,30677.00975741946
2015-07,31157.713805943113
2015-08,28852.80301787625
2015-09,27657.128963894716
2015-10,29734.963333260755
2015-11,31314.488601525005
2015-12,29667.002845919786
2016-01,27278.031993172965
2016-02,27547.12231003238
2016-03,28571.938004126983
2016-04,29199.441331981947
2016-05,30217.94369317665
2016-06,29790.430554982962
2016-07,31398.354738634447
2016-08,31391.34412692875
2016-09,31784.55041318228
2016-10,31211.7480790758
2016-11,33471.55567850067
2016-12,34581.40531145732
2017-01,34669.541441578775
2017-02,35933.38730278361
2017-03,35893.03022233662
2017-04,35815.414374553824
2017-05,35118.14671052088
2017-06,35075.134974152934
2017-07,34903.23812046499
2017-08,34592.28391080238
2017-09,36021.04394918629
2017-10,37065.95985818685
2017-11,37201.84432471248
2017-12,37312.24984518649
2018-01,37188.07016633368
2018-02,36408.24292989415
2018-03,36122.70289087643
2018-04,37189.022165235634
2018-05,39431.74152519764
2018-06,39447.06142095448
2018-07,39656.57257010825
2018-08,40823.33126655354
2018-09,40506.581587356086
2018-10,37319.42062525567
2018-11,37422.80417440254
2018-12,33694.371620095124
2019-01,37037.8249928354
2019-02,38669.14831908152
2019-03,39060.43638537856
2019-04,40344.34487345921
2019-05,37943.62978644896
2019-06,39351.228091284655
2019-07,40386.040470822525
2019-08,39415.6646633291
2019-09,40780.032245968716
2019-10,40907.84914380213
2019-11,42895.20426444002
2019-12,43391.218448163134
2020-01,42875.73400025136
2020-02,39198.58716032706
2020-03,31126.557365488654
2020-04,35570.76002505753
2020-05,37202.19231608919
2020-06,37953.70267281227
2020-07,37270.17403678897
2020-08,39093.91896403072
2020-09,39011.526441168695
2020-10,39033.12569171339
2020-11,43980.50015836365
2020-12,46105.191233905956
2021-01,47575.50851852389
2021-02,50009.543118862755
2021-03,52803.309083690314
2021-04,53231.27154100587
2021-05,53165.879822100185
2021-06,54700.32922418897
2021-07,54288.79669868454
2021-08,55876.83590909503
2021-09,55338.50463274796
2021-10,57004.512193814604
2021-11,55584.645951747894
2021-12,57836.03987136305
2022-01,54270.925829412736
2022-02,54176.428180422234
2022-03,55179.84788018126
2022-04,53586.09039467144
