Date,iShares Core MSCI World UCITS ETF USD (Acc)
1978-11,10000
1978-12,10000
1979-01,10410.202196487186
1979-02,10271.609404365097
1979-03,10710.129047831653
1979-04,10825.779162861321
1979-05,10767.940548187256
1979-06,10961.204246087036
1979-07,10659.66301463928
1979-08,11133.295595524938
1979-09,11272.835762976261
1979-10,10490.728156721061
1979-11,10782.444278698513
1979-12,10834.780040967946
1980-01,11386.376329188846
1980-02,11510.508968609221
1980-03,10830.321550192504
1980-04,11692.029427984175
1980-05,11750.772145902178
1980-06,12148.331975237748
1980-07,12380.262501359295
1980-08,12887.832093052279
1980-09,13258.275795041542
1980-10,14003.55305318768
1980-11,15115.791775731079
1980-12,15268.44382868008
1981-01,14885.815642155305
1981-02,15963.356904600427
1981-03,16560.48034985341
1981-04,17025.164954013297
1981-05,17728.73800977319
1981-06,18396.14961773236
1981-07,18653.473423847474
1981-08,18803.084659446686
1981-09,16618.72473199556
1981-10,16639.385252669974
1981-11,17702.44674460948
1981-12,17583.677225212585
1982-01,17609.2920064327
1982-02,17110.182247310608
1982-03,16963.028346888783
1982-04,18088.970043006455
1982-05,17042.621202245708
1982-06,17236.02423695604
1982-07,17396.776436338183
1982-08,18790.128049114188
1982-09,19071.51060198818
1982-10,20640.453634081234
1982-11,22115.191525824706
1982-12,22173.488944115667
1983-01,22503.35497422424
1983-02,23414.448688258275
1983-03,24377.338037369467
1983-04,26511.314684494067
1983-05,26432.533843170146
1983-06,28115.723809783645
1983-07,28006.600959506268
1983-08,29088.648508512157
1983-09,29715.53831860806
1983-10,28901.071039353843
1983-11,30459.71027100775
1983-12,31650.877380099526
1984-01,32649.670400009585
1984-02,31145.826278779477
1984-03,31465.88554198193
1984-04,31922.797337055694
1984-05,30643.876878075705
1984-06,30921.055934516764
1984-07,30978.77466069958
1984-08,34490.735935552766
1984-09,36003.383150676935
1984-10,37069.881859105866
1984-11,35984.083572140626
1984-12,38206.325953054446
1985-01,41318.16123791588
1985-02,42961.27098642777
1985-03,44572.89098453458
1985-04,41393.622421800595
1985-05,43843.30612118269
1985-06,43865.65425803255
1985-07,42604.092678845576
1985-08,41495.17349146747
1985-09,42499.25444046319
1985-10,42049.95357464268
1985-11,43557.04594038912
1985-12,44535.45359083978
1986-01,44275.94684854655
1986-02,46380.88702640481
1986-03,49523.292036059625
1986-04,51165.46245742251
1986-05,50140.98527064158
1986-06,52375.60178875521
1986-07,51260.9047496356
1986-08,54079.546425146946
1986-09,51537.30072877193
1986-10,50100.90822010066
1986-11,52767.76107969044
1986-12,53065.8015452796
1987-01,55752.46916072379
1987-02,56584.443219554625
1987-03,60000.50789369217
1987-04,62701.09476667216
1987-05,62037.39506804498
1987-06,63122.34777646007
1987-07,65323.70627672259
1987-08,69731.40469203948
1987-09,66739.09859155487
1987-10,55012.88831584879
1987-11,50438.682582227826
1987-12,51032.24572675269
1988-01,52834.14524351136
1988-02,57523.52669656134
1988-03,58463.90156275811
1988-04,58853.963910708415
1988-05,58251.62693676482
1988-06,60338.072662947
1988-07,64576.4350440358
1988-08,62402.118493698836
1988-09,64582.11505729614
1988-10,67181.76581565365
1988-11,66771.0148979029
1988-12,67448.75355866495
1989-01,72662.76874048554
1989-02,73103.70109147091
1989-03,73122.22876122461
1989-04,75227.11970446444
1989-05,76536.76532646683
1989-06,77039.67092482015
1989-07,82008.12452725954
1989-08,81262.41582957112
1989-09,84839.95600356099
1989-10,78923.85432855769
1989-11,80901.02903971201
1989-12,80066.19790931212
1990-01,74091.51318143136
1990-02,69976.8930614666
1990-03,66904.79856894682
1990-04,65098.49269338174
1990-05,70781.79232550309
1990-06,70753.89438740758
1990-07,69244.1713539066
1990-08,60001.46155547364
1990-09,53765.16607745868
1990-10,57063.83742201097
1990-11,55018.12188738085
1990-12,56836.22330322729
1991-01,59062.942763975785
1991-02,63457.98267584326
1991-03,67035.51170676557
1991-04,71161.84246109941
1991-05,73748.27245525595
1991-06,71776.36059428474
1991-07,75264.620265289
1991-08,73374.61301853199
1991-09,73221.52165513767
1991-10,74310.71874464236
1991-11,68413.79760587733
1991-12,71063.94132545142
1992-01,70239.80996825533
1992-02,70552.3313250216
1992-03,69026.605344354
1992-04,69358.23224801103
1992-05,70739.5466028069
1992-06,66413.89655391262
1992-07,63416.6416252867
1992-08,63321.89595010444
1992-09,64192.22726146071
1992-10,65052.631245794226
1992-11,70556.6797423094
1992-12,71082.04107312154
1993-01,72714.19939939851
1993-02,76292.94889085689
1993-03,81114.91167044405
1993-04,81987.01563550303
1993-05,84083.35886351009
1993-06,85811.00832238283
1993-07,91293.25836708085
1993-08,96207.56658888448
1993-09,90674.31843267557
1993-10,94266.63917796875
1993-11,91322.20838998097
1993-12,95748.8099449048
1994-01,103448.08178983115
1994-02,101715.93872424084
1994-03,95318.27314533638
1994-04,98550.67555157098
1994-05,96680.8850043347
1994-06,94847.45958790481
1994-07,93672.37880068073
1994-08,96604.85683695694
1994-09,93059.09466701324
1994-10,93878.26683526205
1994-11,91143.28741632841
1994-12,93910.22058369208
1995-01,90611.22927332581
1995-02,90928.2674870223
1995-03,91610.06810294394
1995-04,92991.45143260651
1995-05,95238.52716938408
1995-06,94417.27909085203
1995-07,97991.94398941213
1995-08,98711.49065946748
1995-09,102892.96012645701
1995-10,99699.19607941447
1995-11,103386.2343859981
1995-12,108096.46489522244
1996-01,111389.55167129624
1996-02,112713.92577632907
1996-03,114518.28521177782
1996-04,118212.3014399844
1996-05,119751.49849626253
1996-06,119425.0198627438
1996-07,113455.40991441849
1996-08,113721.67429859893
1996-09,119200.77486754881
1996-10,120408.05620979329
1996-11,125524.6268141679
1996-12,126248.92338757188
1997-01,131246.88440316226
1997-02,138541.91382484755
1997-03,137378.90417288616
1997-04,142642.5098747229
1997-05,150984.78030852586
1997-06,160295.6701016607
1997-07,172341.9267958225
1997-08,165397.03561970766
1997-09,169807.21357771076
1997-10,157947.24861938015
1997-11,157432.45705462206
1997-12,163649.64843478618
1998-01,172078.47332341812
1998-02,183312.7996627788
1998-03,191755.0880872217
1998-04,192314.04233985482
1998-05,187007.27580489396
1998-06,192831.92973497295
1998-07,192973.8631620849
1998-08,166553.8274236863
1998-09,161591.681333722
1998-10,169690.68114123357
1998-11,184983.31904730725
1998-12,192779.56835226598
1999-01,203433.78568112728
1999-02,204595.35171598976
1999-03,218586.3460602057
1999-04,230306.63647413204
1999-05,224876.18827069973
1999-06,238276.2456684172
1999-07,229423.05356103272
1999-08,231630.88828987427
1999-09,227398.46359199376
1999-10,244064.30759999144
1999-11,259769.9774515544
1999-12,282211.37185346906
2000-01,272965.10175795417
2000-02,275859.608336442
2000-03,299886.1104761385
2000-04,301987.18343253474
2000-05,287430.31996621354
2000-06,289233.40019533865
2000-07,290598.3972513293
2000-08,311394.5771522763
