Date,iShares Core MSCI Europe UCITS ETF EUR (Acc)
1978-11,100
1978-12,100
1979-01,102.0147542840942
1979-02,104.5116836379996
1979-03,111.3546689264095
1979-04,114.28467137855755
1979-05,109.90075163807191
1979-06,111.96887308803025
1979-07,109.74912718400506
1979-08,113.57910459492282
1979-09,118.2143525200567
1979-10,108.22869370233421
1979-11,112.42994784673846
1979-12,110.360194045192
1980-01,114.85161751125605
1980-02,117.50028387500717
1980-03,106.23273271847404
1980-04,118.59253629777149
1980-05,116.64850330027654
1980-06,123.3389070966068
1980-07,123.79351689089165
1980-08,127.52092089838933
1980-09,129.4843616873941
1980-10,137.59370388313374
1980-11,140.81187433371275
1980-12,139.56100438205078
1981-01,134.7464414000191
1981-02,142.76231626609908
1981-03,145.81364037829718
1981-04,148.33705470841358
1981-05,144.9766417772973
1981-06,147.1643855384608
1981-07,147.5719552061666
1981-08,156.0692794893595
1981-09,135.18501872361364
1981-10,136.56504245734698
1981-11,151.8102891128347
1981-12,148.96609584250854
1982-01,153.6755449660347
1982-02,152.78545979378626
1982-03,155.25089458234362
1982-04,162.67306747908256
1982-05,157.13611233334532
1982-06,153.0212398786722
1982-07,159.7216100964315
1982-08,161.7973978385258
1982-09,167.16482200555828
1982-10,171.36375340150806
1982-11,177.16807748924595
1982-12,178.57379278574803
1983-01,177.77376615850903
1983-02,188.2153188363805
1983-03,198.846409549982
1983-04,218.34173120719996
1983-05,217.61172374939278
1983-06,228.45612674860783
1983-07,228.54701524028496
1983-08,231.0289356116254
1983-09,235.38470812839174
1983-10,231.54295487939444
1983-11,244.93377198793976
1983-12,253.22714252779366
1984-01,269.5306081280402
1984-02,269.3887204901068
1984-03,266.1598144561961
1984-04,267.31222582014016
1984-05,257.12212144954816
1984-06,256.713796070868
1984-07,248.9937108738632
1984-08,273.2218795320344
1984-09,281.9595277900217
1984-10,287.8603305449471
1984-11,279.6347641771534
1984-12,292.8672570964451
1985-01,313.95757300762085
1985-02,312.20962137546366
1985-03,349.1844664046868
1985-04,334.50292763825325
1985-05,354.5366370271718
1985-06,352.59823875383415
1985-07,367.14457218966623
1985-08,372.848226578937
1985-09,385.25892761963513
1985-10,401.8663100719311
1985-11,425.06893055687107
1985-12,433.2841996128398
1986-01,432.589894937966
1986-02,465.1107473136555
1986-03,489.4631119780761
1986-04,537.9527923208838
1986-05,482.0301419330977
1986-06,505.24630881188455
1986-07,486.4285404930253
1986-08,524.7472909323949
1986-09,487.8521714780223
1986-10,485.5684309162544
1986-11,517.0195325593967
1986-12,522.6947940400637
1987-01,513.2274500002662
1987-02,522.3694752155095
1987-03,547.4850761599722
1987-04,561.7062168961045
1987-05,552.0179392532075
1987-06,578.1373829244191
1987-07,606.4228374784716
1987-08,616.4298152445984
1987-09,604.4810246583612
1987-10,486.20925181407375
1987-11,436.9135994234587
1987-12,448.48742635963407
1988-01,434.79270990529807
1988-02,473.8787417220869
1988-03,480.5190829673308
1988-04,486.726410153145
1988-05,482.5265694578999
1988-06,495.5862065695686
1988-07,521.9107825714487
1988-08,509.57698126523786
1988-09,533.5583708217453
1988-10,568.7718866473062
1988-11,553.1598432409933
1988-12,556.8547762210727
1989-01,600.0974227676287
1989-02,600.8206457605526
1989-03,609.3949912640257
1989-04,629.9677342579947
1989-05,623.5665582612563
1989-06,661.1697408106422
1989-07,706.9648084796626
1989-08,709.1121820170576
1989-09,732.5674177919595
1989-10,658.9637100590475
1989-11,685.7797112483605
1989-12,728.5324218440182
1990-01,705.4877700683189
1990-02,679.6702203047926
1990-03,701.5545826864188
1990-04,674.3935226153111
1990-05,717.6175110434743
1990-06,748.0685644853221
1990-07,756.2894875960351
1990-08,651.504827657477
1990-09,575.9464785353337
1990-10,606.4171779363825
1990-11,600.588057779129
1990-12,599.1159504969413
1991-01,621.0388699887807
1991-02,664.352946734139
1991-03,674.836824056534
1991-04,703.5510028366175
1991-05,734.2260098312497
1991-06,697.8755024149286
1991-07,747.4240785258819
1991-08,744.5213907121771
1991-09,745.9032013144666
1991-10,729.4730565911641
1991-11,685.8964935000415
1991-12,716.2352009881729
1992-01,721.2832481593242
1992-02,740.2968520072756
1992-03,733.6902556666934
1992-04,767.408828398148
1992-05,795.8086673986371
1992-06,758.8464770394496
1992-07,697.1420663707103
1992-08,677.5759169883775
1992-09,681.9952811767383
1992-10,661.0169375013828
1992-11,704.2023283218231
1992-12,720.107440377133
1993-01,735.6237608133483
1993-02,762.7904456435103
1993-03,806.1914242887401
1993-04,796.1434030743759
1993-05,806.8917302098216
1993-06,818.49727465658
1993-07,856.3289662273282
1993-08,938.7863194931305
1993-09,898.8469198038784
1993-10,947.4701040737826
1993-11,952.0993600648083
1993-12,1023.3099430231111
1994-01,1090.1871832494921
1994-02,1047.7187526882337
1994-03,997.2145141192794
1994-04,1041.7263850939771
1994-05,976.2066010363915
1994-06,950.4857253257406
1994-07,969.6797006717808
1994-08,1001.7943224492614
1994-09,951.9711436356561
1994-10,974.6767561315061
1994-11,951.4895596613235
1994-12,976.6903917223981
1995-01,949.4625955752136
1995-02,960.5866039050511
1995-03,966.3625698643589
1995-04,978.4396873878151
1995-05,1014.1565215257849
1995-06,1015.436409177062
1995-07,1056.2130154639242
1995-08,1046.3776339897763
1995-09,1092.0906098230469
1995-10,1070.2927632879469
1995-11,1080.4985107857206
1995-12,1132.668214369258
1996-01,1154.174536467525
1996-02,1182.2376446473802
1996-03,1195.9035577807936
1996-04,1215.1140068699424
1996-05,1239.6488490138834
1996-06,1243.8731870557829
1996-07,1209.9290715899263
1996-08,1234.8410326976316
1996-09,1272.0466143249787
1996-10,1305.9259708692427
1996-11,1354.777358970396
1996-12,1411.8773896835576
1997-01,1454.4891953143022
1997-02,1538.2056752957876
1997-03,1606.628527481142
1997-04,1607.6354104243758
1997-05,1671.4645614794085
1997-06,1775.108866056301
1997-07,1910.2754812826904
1997-08,1852.7907347801588
1997-09,1979.452995025319
1997-10,1848.2450657259985
1997-11,1838.3059887981915
1997-12,1957.197618685948
1998-01,2085.8585124323895
1998-02,2244.2989151367183
1998-03,2413.3246509977425
1998-04,2443.8118139994594
1998-05,2455.6821371519536
1998-06,2500.9411090218714
1998-07,2556.7124172895456
1998-08,2226.3379467088193
1998-09,2037.9713283825693
1998-10,2120.159705663638
1998-11,2297.9329665210657
1998-12,2383.4474412673176
1999-01,2445.819222832667
1999-02,2463.293197937114
1999-03,2554.5493847535763
1999-04,2667.044350481258
1999-05,2573.568416037918
1999-06,2649.834636472953
1999-07,2583.304282315187
1999-08,2639.811293853362
1999-09,2597.262122910957
1999-10,2747.8539102633035
1999-11,2921.8488917356094
1999-12,3238.039000658816
2000-01,3086.06856466811
2000-02,3273.1140711531984
2000-03,3409.0535126548007
2000-04,3426.828016642267
2000-05,3319.573712999417
2000-06,3301.51285649093
2000-07,3359.2082887392753
2000-08,3445.7320379174494
2000-09,3337.6703036417266
2000-10,3449.7589647998075
2000-11,3214.6571724726314
2000-12,3207.377589319173
2001-01,3212.8546169715673
2001-02,2944.9217383146847
2001-03,2854.3056378070805
2001-04,3044.248912246365
2001-05,3034.3164935175296
2001-06,2920.7064005535267
2001-07,2836.0314284255605
2001-08,2641.042923289435
2001-09,2384.2880326953546
2001-10,2483.879201628112
2001-11,2625.194700211634
