Date,iShares MSCI World Quality Dividend UCITS ETF USD (Acc)
1994-05,100
1994-06,100.00000000000001
1994-07,101.04616711298988
1994-08,105.23975754155501
1994-09,100.92150655506482
1994-10,101.93079849037635
1994-11,99.3394964661994
1994-12,102.23326073685533
1995-01,100.69871301742542
1995-02,102.78587619139539
1995-03,102.6132589521344
1995-04,103.46809101675825
1995-05,108.87052258950328
1995-06,108.53445915585554
1995-07,110.73893536964664
1995-08,112.73012589524767
1995-09,118.99938594502207
1995-10,118.16405266861739
1995-11,122.21763758034969
1995-12,129.02639583063566
1996-01,133.4818527984233
1996-02,135.08574129103982
1996-03,135.45324172832807
1996-04,138.2922394685343
1996-05,142.1941473849306
1996-06,142.1579675548853
1996-07,137.34560776656107
1996-08,138.88878679204782
1996-09,145.26550795345653
1996-10,152.09789203498173
1996-11,159.5924729586336
1996-12,164.53848043611936
1997-01,172.77478057562635
1997-02,183.87710382299454
1997-03,183.7234839489983
1997-04,188.43284852969816
1997-05,197.96061465405006
1997-06,208.0242679549712
1997-07,225.80326621489536
1997-08,220.7481940700129
1997-09,230.80842204514965
1997-10,216.80248256941894
1997-11,217.33780767548862
1997-12,229.59484508077168
1998-01,236.83460759834352
1998-02,252.4877553770409
1998-03,269.168626403345
1998-04,267.59199832319183
1998-05,261.79447686217605
1998-06,264.7977326518242
1998-07,264.1538733016865
1998-08,232.69195541700216
1998-09,227.5187835014513
1998-10,233.4213498468126
1998-11,251.16788978735738
1998-12,256.08670509349093
1999-01,264.77246441123805
1999-02,269.0628093359107
1999-03,281.49208675044315
1999-04,305.8263284177932
1999-05,297.74543524435603
1999-06,307.41247851825807
1999-07,294.73650645353445
1999-08,293.3591912927056
1999-09,284.00160791231156
1999-10,300.2059887132378
1999-11,313.28409754705945
1999-12,323.694383669364
2000-01,307.1023176299252
2000-02,297.510278455141
2000-03,326.36790725132073
2000-04,333.2234112506426
2000-05,327.0422200170676
2000-06,315.14041834090267
2000-07,325.50653821286915
2000-08,344.5577063008125
2000-09,350.99540162661197
2000-10,373.20275439483873
2000-11,355.90617064894656
2000-12,353.47879921162496
2001-01,356.3699481922102
2001-02,346.8251981870808
2001-03,346.0799298627825
2001-04,361.9316241819
2001-05,378.892554528396
2001-06,370.59619596995935
2001-07,359.3533634554316
2001-08,338.786994535052
2001-09,312.9883898728882
2001-10,315.06574029850884
2001-11,330.8606369312706
2001-12,341.93402492366266
2002-01,341.93865795335216
2002-02,345.52048321910473
2002-03,360.7538467754478
2002-04,349.27658873506965
2002-05,340.3976831686955
2002-06,307.7755353463059
2002-07,285.64016900979084
2002-08,287.0339714992138
2002-09,251.78648964220957
2002-10,269.2471533393656
2002-11,277.08506624984085
2002-12,258.17074074695387
2003-01,240.1371987340831
2003-02,235.79569274700742
2003-03,231.22162906287133
2003-04,248.42254827710846
2003-05,247.7685305410811
2003-06,261.84422449998647
2003-07,264.24883110167644
2003-08,274.7378261888182
2003-09,260.0360211168665
2003-10,273.87899132454027
2003-11,271.83500753788735
2003-12,278.7171395269162
2004-01,285.10534019463375
2004-02,292.0247383793235
2004-03,292.3576777330672
2004-04,295.7674806801628
2004-05,292.8267333227273
2004-06,298.45412524898774
2004-07,299.79669773747065
2004-08,303.7314259955597
2004-09,302.9196453894828
2004-10,302.6580665619532
2004-11,304.8698125190089
2004-12,309.0049154252414
2005-01,317.46241597956123
2005-02,327.6080270933054
2005-03,326.40504789781284
2005-04,322.916464201433
2005-05,340.3411528390714
2005-06,352.6657390467032
2005-07,360.87506569617403
2005-08,359.84900358655796
2005-09,371.9175221708779
2005-10,363.67759476644096
2005-11,378.7145781754182
2005-12,385.65365318642773
2006-01,391.2684128777736
2006-02,403.39837474371075
2006-03,402.0842896887282
2006-04,405.93320715762036
2006-05,386.5452450636795
2006-06,393.1107639600341
2006-07,402.0296356100864
2006-08,410.93157400932546
2006-09,422.3152031846905
2006-10,435.7476135899544
2006-11,428.7979024726168
2006-12,443.6179307776798
2007-01,453.21935824103116
2007-02,441.05060134533164
2007-03,450.0708760169819
2007-04,463.98698069479155
2007-05,479.0068735292057
2007-06,472.8019997331123
2007-07,452.48312010476695
2007-08,452.6302640600999
2007-09,455.7085141227555
2007-10,462.6682542081988
2007-11,431.94766148648984
2007-12,424.38852499012523
2008-01,387.8500114808437
2008-02,370.37606170423726
2008-03,356.19229369227656
2008-04,377.94714210636977
2008-05,376.41029990602345
2008-06,331.24563318189286
2008-07,334.36634249229655
2008-08,345.9893572445583
2008-09,322.68745718708556
2008-10,293.1557779553984
2008-11,272.8918372643931
2008-12,257.5687427405499
2009-01,241.41388224869084
2009-02,216.392505059103
2009-03,223.75416414906678
2009-04,256.4442973843013
2009-05,269.1816951840938
2009-06,266.4651005067023
2009-07,293.91859879274926
2009-08,305.0227124191359
2009-09,311.4572347357012
2009-10,305.39637025375805
2009-11,312.2996579780534
2009-12,331.57210606596055
2010-01,325.32702358048664
2010-02,334.5297484819774
2010-03,355.131711637645
